station,day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,avg_wind_speed_kts,avg_wind_drct,max_rh,avg_feel
LMO,2024-07-20,89.2,59.0,59.0,45.7,3.707317,54.426994,83.71794,72.15511
GXY,2024-07-20,86.0,57.0,60.8,52.0,5.8221407,56.022022,93.15243,69.65353
FNL,2024-07-21,83.0,59.0,60.0,45.0,4.6924715,32.176098,93.15243,69.3078
LMO,2024-07-21,83.3,60.8,58.6,41.7,2.84669,345.48004,86.14372,70.83195
GXY,2024-07-21,82.0,59.0,60.8,48.0,3.041417,42.086514,96.50818,68.793396
LMO,2024-07-22,87.0,54.0,52.0,41.0,2.4285715,7.7008524,73.47045,71.03673
FNL,2024-07-22,88.0,54.0,53.0,46.0,4.0841885,57.3599,89.63511,70.65128
GXY,2024-07-22,86.0,53.0,56.0,48.0,4.0841885,127.15833,92.95015,69.754745
GXY,2024-07-23,93.0,54.0,55.0,41.0,3.215212,110.70402,89.63511,72.24338
LMO,2024-07-23,92.3,54.5,51.8,38.5,2.0766551,81.96351,72.69173,73.41422
FNL,2024-07-23,92.0,56.0,54.0,43.0,3.910393,122.0045,86.45185,74.05092
GXY,2024-07-24,,55.0,54.0,50.0,,357.49426,86.34207,64.54366
FNL,2024-07-24,97.0,58.0,53.0,34.0,4.8662667,160.22952,74.832115,76.1111
LMO,2024-07-24,97.7,57.2,50.0,30.7,3.3449478,236.30487,66.11588,75.443756
FNL,2024-07-25,100.0,56.0,50.0,37.0,7.907684,145.42332,66.94687,78.364624
GXY,2024-07-25,,,,,,,,
LMO,2024-07-25,100.4,55.4,53.4,35.6,3.2195122,146.59985,63.834145,77.56432
FNL,2024-07-26,95.0,63.0,57.0,44.0,6.169731,10.645778,65.57043,75.74518
LMO,2024-07-26,93.2,65.0,61.0,40.6,4.58885,245.59518,72.917755,77.08662
GXY,2024-07-26,,,,,,,,
FNL,2024-07-27,96.0,59.0,61.0,44.0,6.6911173,47.526382,86.66759,74.37084
LMO,2024-07-27,96.0,60.8,59.0,40.0,3.804878,144.02751,83.666824,75.99359
GXY,2024-07-27,99.0,59.0,59.0,44.0,6.256629,12.580721,89.80336,73.95109
FNL,2024-07-28,96.0,58.0,56.0,31.0,5.561448,94.3781,80.533455,75.13245
LMO,2024-07-28,98.2,57.6,56.0,24.4,4.2177124,339.14017,81.18257,75.291695
GXY,2024-07-28,96.0,58.0,59.0,40.0,5.6483455,316.58563,86.66759,73.877525
FNL,2024-07-29,99.0,56.0,51.0,31.0,4.9531646,68.9966,77.46588,77.2362
GXY,2024-07-29,100.0,53.0,55.0,22.0,3.9972906,60.901955,89.592415,74.47065
LMO,2024-07-29,101.0,57.0,47.5,22.5,3.968641,221.85995,61.01406,77.363235
FNL,2024-07-30,101.0,60.0,52.0,26.0,4.7793694,89.374725,59.735806,78.83634
GXY,2024-07-30,99.0,50.0,51.0,23.0,4.7793694,354.01035,74.162834,75.08503
LMO,2024-07-30,101.3,62.0,46.0,21.7,4.3344946,284.1123,32.89557,79.9654
GXY,2024-07-31,98.0,59.0,51.0,28.0,5.387653,328.10376,58.39888,76.29068
LMO,2024-07-31,98.4,56.3,47.0,28.6,4.1254354,63.13763,46.36593,77.82365
FNL,2024-07-31,95.0,66.0,53.0,28.0,6.169731,57.68507,46.266193,79.03911
GXY,2024-08-01,100.0,56.0,55.0,32.0,4.605574,82.610695,80.22901,76.72923
LMO,2024-08-01,100.0,57.6,48.4,35.0,2.8118467,4.6829696,61.84782,78.303444
FNL,2024-08-01,99.0,62.0,52.0,35.0,5.4745502,62.063217,55.70898,78.34402
GXY,2024-08-02,100.0,61.0,58.0,42.0,6.430424,57.698963,80.60851,78.41532
FNL,2024-08-02,101.0,62.0,57.0,38.0,5.995936,40.537827,75.20368,78.951965
LMO,2024-08-02,101.7,62.2,52.7,31.0,4.041812,30.789852,56.07538,80.48218
FNL,2024-08-03,98.0,58.0,53.0,40.0,5.7352433,129.76904,74.73801,78.15486
LMO,2024-08-03,98.6,58.0,48.7,34.0,3.0662022,76.21383,65.26452,77.40597
GXY,2024-08-03,97.0,58.0,57.0,44.0,5.4745502,124.003624,86.56035,76.39943
LMO,2024-08-04,98.2,59.4,50.0,40.0,3.7874565,252.28394,59.496708,78.56736
FNL,2024-08-04,99.0,57.0,54.0,44.0,7.386298,324.21487,69.489655,78.68319
GXY,2024-08-04,99.0,58.0,59.0,46.0,4.605574,12.144593,80.68316,78.22227
GXY,2024-08-05,96.0,64.0,59.0,48.0,8.168377,203.94398,65.09424,79.05969
LMO,2024-08-05,97.0,64.6,57.2,43.7,5.414634,194.11882,58.67129,79.77139
FNL,2024-08-05,96.0,65.0,57.0,50.0,8.342172,196.90671,60.986294,78.35155
GXY,2024-08-06,96.0,61.0,61.0,55.0,6.430424,128.20232,83.65401,78.47437
LMO,2024-08-06,96.0,61.0,58.0,49.0,4.5017424,200.28207,79.8874,77.229324
FNL,2024-08-06,96.0,61.0,60.0,53.0,5.7352433,166.03893,83.58972,77.30012
FNL,2024-08-07,93.0,61.0,62.6,52.0,6.430424,54.38395,83.71794,72.75122
LMO,2024-08-07,97.0,60.3,59.0,49.0,4.425087,53.89838,73.23212,75.112305
GXY,2024-08-07,95.0,60.0,64.4,51.0,7.0387077,52.51731,89.844795,72.25813
FNL,2024-08-08,64.0,58.0,60.8,57.0,7.7338886,88.46886,100.0,60.827297
LMO,2024-08-08,67.5,60.6,61.0,56.7,5.139373,34.845127,93.180626,63.441463
GXY,2024-08-08,66.0,57.0,60.8,55.4,8.689762,82.8382,100.0,60.86114
GXY,2024-08-09,66.0,55.0,59.0,53.6,8.255275,79.94933,96.44865,60.287327
FNL,2024-08-09,68.0,56.0,60.8,55.4,7.5600934,35.91038,100.0,59.588997
LMO,2024-08-09,73.0,59.0,58.6,54.3,5.595819,12.617653,93.1041,63.368988
LMO,2024-08-10,81.3,56.5,59.4,49.6,3.7595818,88.0835,94.418564,67.44851
FNL,2024-08-10,74.0,55.0,60.0,53.0,7.125605,173.84343,100.0,62.604458
GXY,2024-08-10,76.0,52.0,61.0,51.8,4.605574,194.2755,100.0,62.304874
FNL,2024-08-11,93.0,58.0,59.0,41.0,7.212503,342.3331,100.0,71.217575
LMO,2024-08-11,93.0,62.0,58.5,37.0,6.0487804,270.92017,84.30905,73.16866
GXY,2024-08-11,92.0,57.0,62.0,49.0,5.8221407,196.82965,100.0,70.26248
LMO,2024-08-12,90.3,59.4,61.0,51.0,3.369338,34.493664,85.6535,74.03519
FNL,2024-08-12,89.0,61.0,63.0,53.6,5.6483455,76.420044,96.53739,72.045845
GXY,2024-08-12,90.0,60.0,62.0,55.0,6.169731,100.4705,100.0,71.6732
FNL,2024-08-13,89.0,61.0,62.6,55.4,5.7352433,25.880863,100.0,69.19573
GXY,2024-08-13,90.0,60.0,63.0,59.0,5.0400624,34.92073,96.522835,69.89518
LMO,2024-08-13,92.0,62.6,61.3,48.7,4.229965,26.863714,85.0468,72.32141
LMO,2024-08-14,93.4,57.0,61.0,32.0,4.2369337,303.7823,90.18809,71.47361
FNL,2024-08-14,88.0,58.0,62.0,39.2,7.0387077,276.0603,100.0,69.93521
GXY,2024-08-14,91.0,57.0,63.0,47.0,4.431779,4.5355825,100.0,69.121056
GXY,2024-08-15,87.0,52.0,55.0,44.0,3.910393,46.685787,89.63511,69.822426
LMO,2024-08-15,91.4,57.0,56.0,38.7,4.133101,205.1955,71.367615,72.73667
FNL,2024-08-15,87.0,53.0,56.0,45.0,4.8662667,97.87749,83.129265,70.458405
FNL,2024-08-16,92.0,58.0,59.0,48.0,4.9531646,139.91876,89.80336,73.00087
GXY,2024-08-16,94.0,57.0,60.0,49.0,4.9531646,117.0425,93.03791,72.48703
LMO,2024-08-16,95.5,56.7,59.0,39.2,3.5261323,0.35051882,83.10895,73.77101
LMO,2024-08-17,101.0,55.4,52.0,32.0,4.8675957,202.81805,68.91877,77.490364
GXY,2024-08-17,100.0,55.0,58.0,33.0,5.561448,279.81427,93.0668,77.477646
FNL,2024-08-17,99.0,56.0,57.0,37.4,7.125605,30.390396,80.533455,77.38399
GXY,2024-08-18,97.0,61.0,59.0,46.0,5.4745502,93.671776,80.60851,78.203186
LMO,2024-08-18,97.7,59.0,52.0,41.0,5.58885,32.681767,69.16527,78.45782
FNL,2024-08-18,96.0,61.0,54.0,47.0,6.7780147,41.600296,72.42126,79.240234
GXY,2024-08-19,92.0,62.0,64.4,54.0,6.3435264,138.44301,82.97585,76.082344
FNL,2024-08-19,89.0,64.0,62.0,52.0,6.082834,113.17356,77.59766,75.48442
LMO,2024-08-19,91.0,64.4,62.0,48.2,4.2891984,20.950619,64.07089,76.65969
GXY,2024-08-20,64.0,64.0,58.0,57.2,4.0841885,203.2394,80.83122,64.38347
LMO,2024-08-20,97.7,58.5,56.3,39.0,2.4808362,79.697556,79.946594,76.41053
FNL,2024-08-20,96.0,59.0,61.0,42.8,3.475905,174.14296,96.4786,75.84376
LMO,2024-08-21,96.8,60.8,53.8,36.3,4.097561,214.7431,67.5408,76.997795
FNL,2024-08-21,95.0,60.0,58.0,46.0,5.7352433,178.43185,77.721375,76.225006
GXY,2024-08-21,,,,,4.605574,176.48273,,0.0
GXY,2024-08-22,88.0,68.0,60.0,46.0,5.0400624,12.308184,75.56758,80.11604
LMO,2024-08-22,91.2,62.6,57.4,44.0,3.2473867,345.04114,73.1983,72.24012
FNL,2024-08-22,88.0,61.0,58.0,47.0,5.995936,15.812606,72.32044,71.926575
GXY,2024-08-23,92.0,59.0,62.0,49.0,4.8662667,132.79471,93.12406,72.11392
FNL,2024-08-23,88.0,59.0,63.0,52.0,4.8662667,15.745506,93.09552,70.87649
LMO,2024-08-23,90.0,57.2,58.0,47.3,2.4250872,49.41959,82.72996,71.94085
LMO,2024-08-24,92.7,59.0,59.5,40.3,3.3191638,211.37262,80.79112,73.20905
FNL,2024-08-24,92.0,57.0,60.0,45.0,4.8662667,174.42928,93.09552,72.867966
GXY,2024-08-24,94.0,57.0,60.0,45.0,3.9972906,218.07253,93.09552,72.57123
LMO,2024-08-25,93.4,60.8,58.6,35.2,3.7770035,265.62802,81.34202,73.84764
GXY,2024-08-25,95.0,57.0,59.0,42.0,5.4745502,336.65454,86.72074,72.63311
FNL,2024-08-25,90.0,61.0,58.0,43.0,6.95181,238.6733,83.65401,73.36862
GXY,2024-08-26,87.0,59.0,59.0,49.0,4.171086,336.94284,93.12406,70.23892
LMO,2024-08-26,86.0,60.0,58.0,42.8,2.0945454,258.1614,86.949455,70.662415
FNL,2024-08-26,85.0,59.0,59.0,46.0,4.6924715,104.814255,93.12406,69.66248
GXY,2024-08-27,87.0,51.0,54.0,42.0,5.561448,97.312355,77.030754,68.65178
FNL,2024-08-27,87.0,53.0,51.0,40.0,6.95181,124.44005,67.178986,69.74905
LMO,2024-08-27,89.6,63.5,50.7,34.3,4.759582,121.77858,58.782097,78.66592
FNL,2024-08-28,94.0,53.0,54.0,37.0,5.300755,132.35767,83.129265,73.90168
GXY,2024-08-28,96.0,51.0,55.0,37.0,5.561448,151.78326,92.89073,73.35157
LMO,2024-08-28,96.3,52.7,50.5,33.0,2.7874565,91.20296,76.46747,73.79554
LMO,2024-08-29,88.0,59.0,50.0,29.5,3.4898956,64.44498,64.60921,71.24536
FNL,2024-08-29,86.0,58.0,49.0,37.0,6.7780147,83.72542,64.60921,71.35399
GXY,2024-08-29,85.0,54.0,51.0,35.0,9.12425,42.918835,77.3798,70.93068
LMO,2024-08-30,89.8,50.0,48.6,30.0,2.6655052,3.7741234,75.97719,68.78124
FNL,2024-08-30,89.0,51.0,50.0,33.0,5.12696,62.846268,74.45268,68.580666
GXY,2024-08-30,90.0,46.0,49.0,35.0,5.387653,105.06299,85.88974,66.66964
GXY,2024-08-31,92.0,48.0,48.2,30.0,4.6924715,42.61166,85.947464,68.12263
FNL,2024-08-31,93.0,53.0,45.0,31.0,5.2138577,69.13377,66.35679,71.50668
LMO,2024-08-31,92.3,50.0,44.6,28.6,2.635794,6.3473086,65.87446,70.0859
FNL,2024-09-01,90.0,56.0,43.0,31.0,6.6042194,128.7879,53.048885,71.0905
LMO,2024-09-01,91.4,52.3,43.5,26.0,2.6204736,121.902794,65.27036,71.182335
GXY,2024-09-01,91.0,49.0,47.0,28.0,5.7352433,145.11479,79.83878,69.68823
GXY,2024-09-02,94.0,48.0,47.0,32.0,4.0841885,30.583101,73.76915,69.23764
FNL,2024-09-02,91.0,50.0,50.0,29.0,3.6497002,9.351001,56.59323,68.79442
LMO,2024-09-02,92.7,49.3,45.0,32.7,1.9240419,330.32068,60.790253,69.88071
GXY,2024-09-03,78.0,66.0,46.0,40.0,3.7365978,194.29631,76.9423,66.08744
FNL,2024-09-03,96.0,55.0,48.0,35.0,4.7793694,163.03998,66.59451,74.091446
LMO,2024-09-03,97.0,51.8,45.5,31.5,2.2961671,137.22743,70.37159,73.7287
FNL,2024-09-04,86.0,57.0,58.0,43.0,8.342172,350.00174,86.50626,69.35572
LMO,2024-09-04,87.3,58.5,55.6,38.0,4.6125436,52.727356,79.15335,70.890465
GXY,2024-09-04,88.0,57.0,60.0,41.0,7.994581,353.40546,93.78725,69.48319
GXY,2024-09-05,78.0,55.0,55.4,47.0,4.5186763,289.66693,93.008835,64.78482
FNL,2024-09-05,78.0,55.0,55.0,47.0,4.8662667,240.88266,89.71974,64.977715
LMO,2024-09-05,78.3,55.0,56.3,43.7,2.2069685,206.89569,84.83535,64.32753
LMO,2024-09-06,86.0,48.0,49.3,28.2,2.691986,84.822174,80.880356,66.53
GXY,2024-09-06,85.0,48.0,55.0,37.0,1.6510549,115.58346,96.372086,65.38641
FNL,2024-09-06,85.0,48.0,50.0,34.0,4.0841885,115.577835,89.41901,67.21277
GXY,2024-09-07,90.0,48.0,52.0,34.0,3.3021097,109.160866,92.769646,66.45975
LMO,2024-09-07,90.0,50.5,46.0,29.7,2.5923345,36.68387,66.4366,68.910675
FNL,2024-09-07,89.0,50.0,47.0,35.0,3.7365978,127.43947,74.065186,68.98443
GXY,2024-09-08,91.0,51.0,52.0,36.0,3.8234954,28.427025,92.83057,66.985664
FNL,2024-09-08,89.0,50.0,50.0,35.0,4.7793694,3.5925853,76.9423,67.98349
LMO,2024-09-08,92.0,50.5,45.7,30.7,2.4006968,267.4933,66.84948,68.208595
FNL,2024-09-09,86.0,53.0,47.0,35.6,5.4745502,308.25604,74.356575,70.511635
GXY,2024-09-09,92.0,50.0,52.0,35.0,5.0400624,294.2474,86.17496,69.192444
LMO,2024-09-09,93.2,51.3,48.0,33.3,2.662021,95.92528,66.88506,70.876945
LMO,2024-09-10,93.4,51.0,47.3,31.6,3.2472324,318.9361,69.69174,71.15
GXY,2024-09-10,92.0,51.0,53.0,33.0,3.3890073,278.11102,92.83057,68.33367
FNL,2024-09-10,91.0,53.0,52.0,33.0,3.910393,269.01068,79.996185,71.36497
GXY,2024-09-11,89.0,52.0,55.0,41.0,4.5186763,358.2652,80.60851,67.87538
FNL,2024-09-11,87.0,57.0,53.0,38.0,4.7793694,4.46817,69.81627,69.53553
LMO,2024-09-11,90.0,56.7,49.0,36.0,3.163763,281.1506,65.344444,70.28505
FNL,2024-09-12,92.0,51.0,51.0,30.0,6.169731,44.42032,89.50623,69.07756
LMO,2024-09-12,95.0,47.3,47.3,25.7,3.0278745,42.497135,76.004776,70.47946
GXY,2024-09-12,94.0,47.0,53.0,30.0,5.8221407,0.15136823,92.83057,67.868996
FNL,2024-09-13,82.0,50.0,40.0,28.0,6.169731,87.498146,48.460857,66.72408
LMO,2024-09-13,83.5,47.7,42.3,27.0,3.1916375,149.55984,63.682903,65.959854
GXY,2024-09-13,84.0,50.0,40.0,28.0,5.2138577,34.760963,54.848858,66.152824
GXY,2024-09-14,90.0,49.0,52.0,32.0,4.431779,87.895355,73.76915,66.83879
FNL,2024-09-14,89.0,52.0,49.0,30.0,4.8662667,103.253006,61.05819,68.59955
LMO,2024-09-14,90.5,51.0,43.0,27.5,2.8327527,158.72107,66.682724,69.24934
GXY,2024-09-15,90.0,51.0,53.6,46.0,4.8662667,341.43,89.41901,66.24414
FNL,2024-09-15,,53.0,48.0,41.0,4.7793694,11.636799,71.49519,56.73109
LMO,2024-09-15,90.0,51.8,45.0,32.0,2.9832752,289.45776,62.868008,67.73263
FNL,2024-09-16,86.0,50.0,48.2,40.0,5.0400624,228.90785,71.82933,68.19228
GXY,2024-09-16,85.0,48.0,52.0,44.0,3.910393,146.12672,96.32496,65.169754
LMO,2024-09-16,88.0,47.5,46.8,31.0,2.4634147,208.1446,78.20659,67.63377
GXY,2024-09-17,87.0,48.0,59.0,43.0,4.5186763,253.8888,89.50623,62.39499
FNL,2024-09-17,84.0,50.0,49.0,39.0,5.300755,90.607315,80.15184,64.51193
LMO,2024-09-17,89.8,52.0,50.0,34.3,3.5937283,233.22249,68.594696,65.94632
LMO,2024-09-18,87.3,45.3,49.0,19.2,5.087108,245.79187,84.191864,66.46134
GXY,2024-09-18,86.0,44.0,52.0,24.0,4.7793694,91.37247,89.37499,61.958965
FNL,2024-09-18,86.0,44.0,47.0,19.0,5.561448,169.30167,82.99428,64.15056
FNL,2024-09-19,85.0,47.0,38.0,27.0,5.300755,113.768906,56.162605,65.56275
GXY,2024-09-19,85.0,42.0,39.0,31.0,4.605574,106.17186,76.1241,63.236095
LMO,2024-09-19,87.0,50.7,40.0,23.4,4.5017424,81.633736,47.285908,68.72721
FNL,2024-09-20,87.0,51.0,46.0,33.0,5.6483455,95.93399,61.977386,66.47495
LMO,2024-09-20,84.7,50.0,44.6,29.5,1.7839721,262.93973,57.43112,65.11783
GXY,2024-09-20,86.0,46.0,44.0,34.0,5.0400624,350.50177,68.017075,63.22099
FNL,2024-09-21,73.0,50.0,47.0,32.0,8.689762,44.567703,89.37499,62.12813
LMO,2024-09-21,72.7,48.6,49.0,30.0,4.1247387,69.7063,84.64574,60.65528
GXY,2024-09-21,71.0,49.0,49.0,31.0,9.037353,23.713001,89.46275,60.682674
FNL,2024-09-22,64.0,46.0,48.0,43.0,7.4731956,163.1922,100.0,51.49433
GXY,2024-09-22,64.0,45.0,50.0,43.0,5.561448,160.72525,100.0,51.131355
LMO,2024-09-22,67.0,48.7,48.0,42.0,2.5923345,135.26343,90.39063,54.76739
FNL,2024-09-23,82.0,38.0,49.0,33.0,5.12696,212.45659,100.0,61.52388
LMO,2024-09-23,84.2,42.4,49.0,30.0,2.583026,178.52571,90.82513,62.131046
GXY,2024-09-23,84.0,39.0,50.0,37.0,3.9972906,304.5608,96.22793,58.94828
LMO,2024-09-24,79.7,49.0,45.5,33.0,2.7874565,242.0792,67.513214,65.06913
GXY,2024-09-24,80.0,48.0,48.0,36.0,5.9090385,301.5601,86.17496,64.030235
FNL,2024-09-24,79.0,51.0,46.0,34.0,5.8221407,264.69635,63.611866,64.637886
FNL,2024-09-25,87.0,46.0,46.0,40.0,5.0400624,140.90393,76.76395,66.54127
GXY,2024-09-25,87.0,44.0,49.0,40.0,4.8662667,140.90804,86.11859,64.578735
LMO,2024-09-25,88.7,49.0,49.5,33.6,2.9512196,207.81425,78.086555,67.7907
GXY,2024-09-26,94.0,48.0,49.0,35.0,4.344881,293.9541,82.85773,68.557465
LMO,2024-09-26,95.5,50.0,48.0,32.5,2.2891986,118.71229,76.9423,69.69153
FNL,2024-09-26,94.0,52.0,49.0,35.0,4.2579837,97.856865,71.6002,71.181
FNL,2024-09-27,89.0,57.0,45.0,33.0,5.6483455,41.668102,49.99235,72.04556
GXY,2024-09-27,89.0,54.0,50.0,35.0,5.6483455,2.8972104,71.91202,69.83448
LMO,2024-09-27,87.8,57.0,47.0,32.0,2.3832753,274.30634,51.927338,71.14222
GXY,2024-09-28,92.0,48.0,50.0,34.0,5.6483455,138.10504,89.28615,66.91032
FNL,2024-09-28,91.0,51.0,49.0,34.0,5.995936,130.3452,73.96703,68.8673
LMO,2024-09-28,91.6,49.5,46.8,31.0,1.5052265,162.45776,75.97719,68.383705
GXY,2024-09-29,93.0,49.0,44.0,36.0,5.2138577,132.90685,68.24985,69.3941
FNL,2024-09-29,91.0,50.0,48.0,34.0,4.431779,61.08079,57.990765,68.442924
LMO,2024-09-29,94.0,51.0,52.7,32.7,1.8675958,179.46988,72.323,68.86597
GXY,2024-09-30,74.0,42.0,45.0,19.0,8.602865,26.999146,73.96703,60.169926
FNL,2024-09-30,76.0,49.0,51.0,17.0,7.125605,64.81448,74.25996,63.891644
LMO,2024-09-30,84.4,46.4,49.3,24.0,4.139373,47.468285,63.223564,65.11313
LMO,2024-10-01,72.7,40.0,37.8,24.6,1.5052265,352.91476,65.294495,54.32415
GXY,2024-10-01,74.0,36.0,35.0,23.0,4.2579837,330.91766,64.11146,52.0408
FNL,2024-10-01,73.0,38.0,36.0,21.0,3.6497002,35.11379,59.27313,54.227886
FNL,2024-10-02,91.0,43.0,41.0,21.0,3.3890073,138.51054,85.65535,65.19747
GXY,2024-10-02,91.0,38.0,38.0,22.0,3.7365978,222.71614,73.05978,60.806698
LMO,2024-10-02,92.3,41.0,40.3,22.5,2.554007,68.00173,73.39304,63.896774
LMO,2024-10-03,73.0,46.0,38.3,27.5,3.5296168,14.486743,65.33311,58.903896
FNL,2024-10-03,73.0,49.0,43.0,27.0,6.95181,61.427998,71.28357,59.83287
GXY,2024-10-03,72.0,43.0,36.0,29.0,8.342172,30.01493,70.41501,56.676895
LMO,2024-10-04,81.5,40.5,44.8,34.0,1.8501742,323.02173,75.128365,58.552116
FNL,2024-10-04,80.0,38.0,41.0,33.0,4.344881,41.123447,82.295395,56.375195
GXY,2024-10-04,81.0,36.0,43.0,32.0,4.2579837,37.22055,81.93035,55.72292
FNL,2024-10-05,88.0,44.0,41.0,21.0,4.5186763,88.52598,71.06976,64.40566
LMO,2024-10-05,90.0,46.4,35.8,18.5,4.4738674,270.31656,61.275036,67.192314
GXY,2024-10-05,89.0,39.0,38.0,24.0,4.9531646,334.57285,79.191154,60.242302
GXY,2024-10-06,77.0,38.0,37.0,28.0,4.171086,14.435543,64.499306,55.849506
FNL,2024-10-06,75.0,44.0,36.0,28.0,4.8662667,15.061668,70.41501,57.58542
LMO,2024-10-06,75.6,42.0,39.0,28.0,1.7003484,327.75165,67.424904,58.157585
GXY,2024-10-07,82.0,38.0,37.0,25.0,6.6042194,327.4332,65.38279,58.69161
LMO,2024-10-07,85.0,42.6,40.3,22.5,2.56446,54.380394,72.90335,62.14426
FNL,2024-10-07,83.0,43.0,35.0,24.0,6.169731,11.953311,65.0078,62.79695
FNL,2024-10-08,83.0,40.0,38.0,25.0,3.9972906,54.11843,60.247158,61.741455
LMO,2024-10-08,87.0,41.0,37.6,26.2,2.902439,312.6582,65.50825,61.76139
GXY,2024-10-08,84.0,37.0,34.0,21.0,3.215212,299.13394,64.37064,58.138485
FNL,2024-10-09,83.0,45.0,39.0,25.0,3.041417,344.1609,67.89982,63.449924
GXY,2024-10-09,84.0,38.0,37.0,23.0,3.6497002,316.14343,59.69429,59.087257
LMO,2024-10-09,85.3,44.4,38.5,24.3,2.8118467,257.2919,64.023026,63.234097
FNL,2024-10-10,86.0,45.0,43.0,26.0,3.1283145,174.06262,68.70851,65.83418
GXY,2024-10-10,87.0,40.0,38.0,23.0,3.5628026,319.86288,67.424904,61.074856
LMO,2024-10-10,88.0,45.3,42.4,25.5,2.1602788,103.41018,63.882393,63.764393
GXY,2024-10-11,72.0,43.0,36.0,27.0,3.3021097,352.5912,58.1551,56.783028
LMO,2024-10-11,70.7,48.0,38.0,29.7,2.216028,338.38965,63.88737,58.379475
FNL,2024-10-11,71.0,47.0,43.0,29.0,3.5628026,36.610176,56.45028,59.428734
GXY,2024-10-12,83.0,41.0,36.0,26.0,5.9090385,47.078976,76.1241,59.220943
FNL,2024-10-12,82.0,44.0,42.0,26.0,4.0841885,91.36354,73.86835,62.46776
LMO,2024-10-12,81.0,45.3,40.0,26.4,2.3505535,105.82168,68.652794,61.8797
FNL,2024-10-13,70.0,44.0,36.0,27.0,4.0841885,35.17268,62.576954,54.356953
LMO,2024-10-13,69.6,45.3,37.4,29.3,2.8397212,8.058887,65.555954,55.7263
GXY,2024-10-13,71.0,40.0,32.0,26.6,5.300755,67.71587,64.62735,54.19069
LMO,2024-10-14,83.7,37.4,37.6,28.8,2.2752614,339.23593,79.02461,59.762245
FNL,2024-10-14,83.0,37.0,35.0,28.0,4.2579837,31.89072,70.19222,58.790222
GXY,2024-10-14,84.0,34.0,34.0,24.0,3.475905,345.38156,69.277664,54.46197
GXY,2024-10-15,65.0,39.0,32.0,26.0,7.0387077,87.400406,61.775208,50.46733
LMO,2024-10-15,74.7,42.4,37.0,29.0,4.0522647,18.345928,66.71133,58.80272
FNL,2024-10-15,70.0,42.0,41.0,26.0,5.9155555,75.750374,65.99591,55.132202
LMO,2024-10-16,80.8,36.5,36.0,28.6,1.6864111,290.2428,76.454926,57.066914
GXY,2024-10-16,80.0,34.0,38.0,25.0,4.6924715,266.15482,72.21591,52.31604
FNL,2024-10-16,79.0,37.0,37.0,26.0,5.0400624,230.12286,64.37064,54.568317
GXY,2024-10-17,78.0,44.0,39.0,32.0,5.0400624,224.13866,65.0078,58.76378
FNL,2024-10-17,77.0,47.0,38.0,31.0,6.082834,179.92361,60.924522,59.71426
LMO,2024-10-17,78.0,48.6,39.7,27.7,3.5679443,230.58496,59.602764,61.222996
FNL,2024-10-18,56.0,44.0,39.2,33.0,8.950456,45.90548,76.40133,46.952686
GXY,2024-10-18,54.0,44.0,39.0,34.0,10.514612,29.627773,79.27372,45.22164
LMO,2024-10-18,54.0,40.0,41.0,33.0,4.3205576,43.228367,79.706635,48.22855
GXY,2024-10-19,64.0,42.0,47.0,36.0,4.8662667,95.37766,93.44901,48.16262
FNL,2024-10-19,61.0,43.0,43.0,37.0,4.431779,112.81807,82.367134,46.890244
LMO,2024-10-19,61.0,45.0,42.0,39.2,1.3135889,285.90048,81.23487,49.910397
LMO,2024-10-20,74.7,43.5,48.4,36.3,1.3972125,265.17252,93.42943,55.16733
FNL,2024-10-20,75.0,41.0,45.0,36.0,3.1283145,104.681885,89.28615,55.474487
GXY,2024-10-20,74.0,47.0,48.0,39.0,3.6497002,119.875916,100.0,56.17318
GXY,2024-10-21,73.0,42.0,46.0,29.0,9.12425,320.1607,89.05922,55.182007
LMO,2024-10-21,73.0,47.7,43.0,28.2,5.0174217,280.44028,71.65643,58.52363
FNL,2024-10-21,72.0,45.0,43.0,30.0,9.298046,332.1014,82.71959,57.642258
GXY,2024-10-22,78.0,34.0,37.0,27.0,4.0841885,239.19717,75.5557,54.732353
LMO,2024-10-22,79.0,44.6,36.0,21.7,5.174216,270.39853,65.38279,61.6916
FNL,2024-10-22,79.0,41.0,38.0,27.0,4.9531646,144.50398,70.74491,58.811268
FNL,2024-10-23,74.0,39.0,39.0,27.0,4.431779,28.712732,75.93673,53.241104
GXY,2024-10-23,77.0,34.0,40.0,27.0,4.9531646,107.46935,82.07766,52.340057
LMO,2024-10-23,74.7,36.5,37.2,29.3,2.2473867,326.37476,74.89388,54.436733
GXY,2024-10-24,68.0,33.0,38.0,24.0,11.470487,340.26147,81.78129,47.857933
LMO,2024-10-24,75.0,40.0,35.0,21.6,6.9965158,16.098625,68.95791,54.89554
FNL,2024-10-24,66.0,36.0,37.0,24.0,11.818077,3.774213,78.94063,49.952442
FNL,2024-10-25,65.0,31.0,31.0,25.0,3.7365978,36.819084,84.98082,45.811832
LMO,2024-10-25,64.8,33.3,31.0,25.0,1.9407666,298.737,76.60883,45.71524
GXY,2024-10-25,68.0,27.0,31.0,19.0,3.3890073,344.31094,78.16274,43.81549
LMO,2024-10-26,73.2,32.0,34.0,24.6,1.1324042,258.96368,78.42651,48.7083
